level,method,pt,nb_mean,nb_sd
S1_plasmode_treat,logistic,0.1,0.46462962962962956,0.006705749636640203
S1_plasmode_treat,logistic,0.2,0.41733333333333333,0.009125285383665154
S1_plasmode_treat,rf,0.1,0.45637037037037037,0.007569703529375104
S1_plasmode_treat,rf,0.2,0.40758333333333335,0.010692676621563637
S1_plasmode_treat,tree,0.1,0.45062962962962966,0.011945521053977875
S1_plasmode_treat,tree,0.2,0.39433333333333337,0.006672393373695317
S1p_plasmode_outcome,logistic,0.1,0.46381481481481485,0.00890369137855807
S1p_plasmode_outcome,logistic,0.2,0.41841666666666666,0.009186720488473214
S1p_plasmode_outcome,rf,0.1,0.45599999999999996,0.006942444156361491
S1p_plasmode_outcome,rf,0.2,0.40399999999999997,0.01275735082217306
S1p_plasmode_outcome,tree,0.1,0.4565185185185185,0.007731875128590417
S1p_plasmode_outcome,tree,0.2,0.39875,0.013756816492197574
S2_gan_epochs,logistic,0.1,0.45444444444444443,0.006758625033664698
S2_gan_epochs,logistic,0.2,0.38625,0.007603453162872793
S2_gan_epochs,rf,0.1,0.45444444444444443,0.006758625033664698
S2_gan_epochs,rf,0.2,0.38625,0.007603453162872793
S2_gan_epochs,tree,0.1,0.4537407407407408,0.005544804411976884
S2_gan_epochs,tree,0.2,0.3835,0.008466847110938052
S4_resample,logistic,0.1,0.4641111111111111,0.008275353858384639
S4_resample,logistic,0.2,0.418,0.008888194417315597
S4_resample,rf,0.1,0.45662962962962966,0.00551690257225645
S4_resample,rf,0.2,0.40825,0.010259142264341619
S4_resample,tree,0.1,0.45692592592592596,0.006281791571661257
S4_resample,tree,0.2,0.40124999999999994,0.013610657588816202
S5_random,logistic,0.1,0.45444444444444443,0.006758625033664698
S5_random,logistic,0.2,0.38625,0.007603453162872793
S5_random,rf,0.1,0.45444444444444443,0.006758625033664698
S5_random,rf,0.2,0.38625,0.007603453162872793
S5_random,tree,0.1,0.4474444444444445,0.011248593876459908
S5_random,tree,0.2,0.37883333333333336,0.01051586103623158
TRTR,logistic,0.1,0.46422222222222226,0.00838281605060446
TRTR,logistic,0.2,0.4180833333333333,0.00897682200633017
TRTR,rf,0.1,0.45614814814814814,0.007000293938566971
TRTR,rf,0.2,0.40691666666666665,0.008382770027463085
TRTR,tree,0.1,0.45199999999999996,0.00641275734689249
TRTR,tree,0.2,0.40025,0.009260129588726046
