"bins","y","p","n","cell_id","model","N","gamma_v"
"[0,0.601]",0.4,0.419844552392094,15,"C1_N500_g0","gbm",500,0
"(0.601,0.736]",0.466666666666667,0.678792592650696,15,"C1_N500_g0","gbm",500,0
"(0.736,0.788]",0.6,0.758263485242825,15,"C1_N500_g0","gbm",500,0
"(0.788,0.828]",0.666666666666667,0.801647763299324,15,"C1_N500_g0","gbm",500,0
"(0.828,0.856]",0.666666666666667,0.843593171987278,15,"C1_N500_g0","gbm",500,0
"(0.856,0.881]",0.866666666666667,0.868959958390078,15,"C1_N500_g0","gbm",500,0
"(0.881,0.911]",0.866666666666667,0.897553127152324,15,"C1_N500_g0","gbm",500,0
"(0.911,0.944]",1,0.93142407519604,15,"C1_N500_g0","gbm",500,0
"(0.944,0.969]",1,0.958310161991927,15,"C1_N500_g0","gbm",500,0
"(0.969,1]",0.933333333333333,0.976354549235685,15,"C1_N500_g0","gbm",500,0
