"bins","y","p","n","cell_id","model","N","gamma_v"
"[0,0.598]",0.333333333333333,0.409853253457779,15,"C1_N500_g0","lmm",500,0
"(0.598,0.725]",0.533333333333333,0.665331140606092,15,"C1_N500_g0","lmm",500,0
"(0.725,0.778]",0.6,0.753468462115978,15,"C1_N500_g0","lmm",500,0
"(0.778,0.817]",0.666666666666667,0.798030180888277,15,"C1_N500_g0","lmm",500,0
"(0.817,0.852]",0.666666666666667,0.839890206088558,15,"C1_N500_g0","lmm",500,0
"(0.852,0.879]",0.8,0.864472669902343,15,"C1_N500_g0","lmm",500,0
"(0.879,0.909]",0.933333333333333,0.895196319417019,15,"C1_N500_g0","lmm",500,0
"(0.909,0.942]",1,0.929421912264648,15,"C1_N500_g0","lmm",500,0
"(0.942,0.965]",1,0.95622444285647,15,"C1_N500_g0","lmm",500,0
"(0.965,1]",0.933333333333333,0.976232691483913,15,"C1_N500_g0","lmm",500,0
