"bins","y","p","n","cell_id","model","N","gamma_v"
"[0,0.539]",0.533333333333333,0.414499608561167,15,"C2_N500_g08_09","gbm",500,0.8
"(0.539,0.659]",0.666666666666667,0.610779039563435,15,"C2_N500_g08_09","gbm",500,0.8
"(0.659,0.733]",0.866666666666667,0.693263464643136,15,"C2_N500_g08_09","gbm",500,0.8
"(0.733,0.807]",0.8,0.766406329444575,15,"C2_N500_g08_09","gbm",500,0.8
"(0.807,0.853]",0.733333333333333,0.830591336726517,15,"C2_N500_g08_09","gbm",500,0.8
"(0.853,0.894]",0.933333333333333,0.877535736705307,15,"C2_N500_g08_09","gbm",500,0.8
"(0.894,0.929]",1,0.911820627952698,15,"C2_N500_g08_09","gbm",500,0.8
"(0.929,0.954]",0.933333333333333,0.939952931077527,15,"C2_N500_g08_09","gbm",500,0.8
"(0.954,0.977]",1,0.968934974504686,15,"C2_N500_g08_09","gbm",500,0.8
"(0.977,1]",0.933333333333333,0.986614095799075,15,"C2_N500_g08_09","gbm",500,0.8
