"bins","y","p","n","cell_id","model","N","gamma_v"
"[0,0.539]",0.6,0.422287506875351,15,"C2_N500_g08_09","lmm",500,0.8
"(0.539,0.677]",0.666666666666667,0.616114371211113,15,"C2_N500_g08_09","lmm",500,0.8
"(0.677,0.732]",0.733333333333333,0.702667409900853,15,"C2_N500_g08_09","lmm",500,0.8
"(0.732,0.804]",0.933333333333333,0.766802634570403,15,"C2_N500_g08_09","lmm",500,0.8
"(0.804,0.856]",0.733333333333333,0.832525399494145,15,"C2_N500_g08_09","lmm",500,0.8
"(0.856,0.896]",0.866666666666667,0.875919637582012,15,"C2_N500_g08_09","lmm",500,0.8
"(0.896,0.926]",1,0.911692139921708,15,"C2_N500_g08_09","lmm",500,0.8
"(0.926,0.953]",0.933333333333333,0.94042902571757,15,"C2_N500_g08_09","lmm",500,0.8
"(0.953,0.974]",0.933333333333333,0.964726761658058,15,"C2_N500_g08_09","lmm",500,0.8
"(0.974,1]",1,0.98456887550195,15,"C2_N500_g08_09","lmm",500,0.8
