"bins","y","p","n","cell_id","model","N","gamma_v"
"[0,0.56]",0.466666666666667,0.420296988510219,60,"C3_N2k_g0","gbm",2000,0
"(0.56,0.673]",0.6,0.625189304150687,60,"C3_N2k_g0","gbm",2000,0
"(0.673,0.75]",0.616666666666667,0.711990242982032,60,"C3_N2k_g0","gbm",2000,0
"(0.75,0.808]",0.783333333333333,0.780914996454273,60,"C3_N2k_g0","gbm",2000,0
"(0.808,0.841]",0.816666666666667,0.825234721860977,60,"C3_N2k_g0","gbm",2000,0
"(0.841,0.871]",0.866666666666667,0.85569917625854,60,"C3_N2k_g0","gbm",2000,0
"(0.871,0.905]",0.833333333333333,0.890352243708901,60,"C3_N2k_g0","gbm",2000,0
"(0.905,0.931]",0.9,0.91749325472959,60,"C3_N2k_g0","gbm",2000,0
"(0.931,0.957]",0.883333333333333,0.944068703404359,60,"C3_N2k_g0","gbm",2000,0
"(0.957,1]",0.966666666666667,0.971163230804826,60,"C3_N2k_g0","gbm",2000,0
