"bins","y","p","n","cell_id","model","N","gamma_v"
"[0,0.545]",0.45,0.412055841855472,60,"C3_N2k_g0","lmm",2000,0
"(0.545,0.668]",0.65,0.625251442714067,60,"C3_N2k_g0","lmm",2000,0
"(0.668,0.749]",0.616666666666667,0.709397246974142,60,"C3_N2k_g0","lmm",2000,0
"(0.749,0.807]",0.75,0.781137163889828,60,"C3_N2k_g0","lmm",2000,0
"(0.807,0.839]",0.833333333333333,0.824508441316597,60,"C3_N2k_g0","lmm",2000,0
"(0.839,0.871]",0.85,0.855674469925861,60,"C3_N2k_g0","lmm",2000,0
"(0.871,0.901]",0.85,0.888719740180713,60,"C3_N2k_g0","lmm",2000,0
"(0.901,0.931]",0.883333333333333,0.917095050317653,60,"C3_N2k_g0","lmm",2000,0
"(0.931,0.955]",0.883333333333333,0.942595202112533,60,"C3_N2k_g0","lmm",2000,0
"(0.955,1]",0.966666666666667,0.971017493588893,60,"C3_N2k_g0","lmm",2000,0
