"bins","y","p","n","cell_id","model","N","gamma_v"
"[0,0.526]",0.45,0.41689805973905,60,"C4_N2k_g08_09","gbm",2000,0.8
"(0.526,0.634]",0.533333333333333,0.585727576918005,60,"C4_N2k_g08_09","gbm",2000,0.8
"(0.634,0.721]",0.666666666666667,0.675869064539768,60,"C4_N2k_g08_09","gbm",2000,0.8
"(0.721,0.78]",0.783333333333333,0.750710624395811,60,"C4_N2k_g08_09","gbm",2000,0.8
"(0.78,0.828]",0.85,0.800577773015429,60,"C4_N2k_g08_09","gbm",2000,0.8
"(0.828,0.869]",0.816666666666667,0.850062137378452,60,"C4_N2k_g08_09","gbm",2000,0.8
"(0.869,0.912]",0.916666666666667,0.890722805129063,60,"C4_N2k_g08_09","gbm",2000,0.8
"(0.912,0.941]",0.933333333333333,0.927564413816805,60,"C4_N2k_g08_09","gbm",2000,0.8
"(0.941,0.975]",0.933333333333333,0.955788155915798,60,"C4_N2k_g08_09","gbm",2000,0.8
"(0.975,1]",0.95,0.98514062601916,60,"C4_N2k_g08_09","gbm",2000,0.8
