"bins","y","p","n","cell_id","model","N","gamma_v"
"[0,0.526]",0.4,0.429616601536572,60,"C4_N2k_g08_09","lmm",2000,0.8
"(0.526,0.63]",0.6,0.580002337761507,60,"C4_N2k_g08_09","lmm",2000,0.8
"(0.63,0.713]",0.633333333333333,0.670167363277542,60,"C4_N2k_g08_09","lmm",2000,0.8
"(0.713,0.772]",0.833333333333333,0.746358648685143,60,"C4_N2k_g08_09","lmm",2000,0.8
"(0.772,0.823]",0.783333333333333,0.795840530237799,60,"C4_N2k_g08_09","lmm",2000,0.8
"(0.823,0.867]",0.833333333333333,0.846141513508108,60,"C4_N2k_g08_09","lmm",2000,0.8
"(0.867,0.912]",0.916666666666667,0.891201693408997,60,"C4_N2k_g08_09","lmm",2000,0.8
"(0.912,0.943]",0.933333333333333,0.928267320522043,60,"C4_N2k_g08_09","lmm",2000,0.8
"(0.943,0.971]",0.95,0.957318829082423,60,"C4_N2k_g08_09","lmm",2000,0.8
"(0.971,1]",0.95,0.985764699834199,60,"C4_N2k_g08_09","lmm",2000,0.8
