"cell_id","N","gamma_v","gamma_o","variant","rep","lmm_auc","lmm_slope","lmm_intercept","lmm_nb10","lmm_nb20","gbm_auc","gbm_slope","gbm_intercept","gbm_nb10","gbm_nb20","lmm_coverage_slope","gbm_coverage_slope","mean_visits","prevalence","train_n","test_n","gbm_wins_auc","twin_delta_auc"
"C1_N500_g0",500,0,0,"outcome",1,0.790632754342432,1.22395156856319,0.0911345214843064,0.807407407407407,0.783333333333333,0.789081885856079,1.21373628936967,0.118859557149633,0.807407407407407,0.783333333333333,0,0,6.214,0.794,350,150,0,-0.00155086848635233
"C1_N500_g0",500,0,0,"treatment",2,0.716350496838302,0.534262260955588,0.73737729138737,0.8,0.77,0.6967780788919,0.437281294228158,0.871610383168863,0.800740740740741,0.763333333333333,0,0,6.09,0.792,350,150,0,-0.0195724179464016
"C1_N500_g0",500,0,0,"outcome",3,0.768194768194768,1.24406949425763,-0.618452379776046,0.755555555555556,0.725,0.75032375032375,1.16281907253363,-0.501167026061843,0.755555555555556,0.725,0,1,6.112,0.804,350,150,0,-0.0178710178710179
"C1_N500_g0",500,0,0,"treatment",4,0.833017077798861,0.998099639454354,-0.0447472459570074,0.771111111111111,0.746666666666667,0.841149362970995,1.01773587882255,-0.077957724891512,0.77037037037037,0.746666666666667,1,1,5.994,0.808,350,150,1,0.00813228517213338
"C1_N500_g0",500,0,0,"outcome",5,0.728049728049728,0.75519210132814,0.145477502166187,0.755555555555556,0.718333333333333,0.719502719502719,0.708702844900422,0.186566599808541,0.755555555555556,0.718333333333333,0,0,5.942,0.794,350,150,0,-0.00854700854700852
"C1_N500_g0",500,0,0,"treatment",6,0.691744730679157,0.426704616483341,0.917536546966912,0.792592592592593,0.743333333333333,0.689988290398126,0.430694457529383,0.910295889183461,0.793333333333333,0.743333333333333,0,0,5.952,0.774,350,150,0,-0.00175644028103039
"C1_N500_g0",500,0,0,"outcome",7,0.759760615559989,0.807852636575498,0.225035272716874,0.785925925925926,0.76,0.779139355941864,0.881743135449494,0.161495765953954,0.785925925925926,0.76,1,1,6.098,0.798,350,150,1,0.0193787403818751
"C1_N500_g0",500,0,0,"treatment",8,0.767841011743451,0.818567820001217,0.200275365500817,0.8,0.776666666666667,0.768443239987955,0.802405281582035,0.203405362212177,0.800740740740741,0.776666666666667,1,1,5.946,0.806,350,150,1,0.000602228244504621
"C1_N500_g0",500,0,0,"outcome",9,0.788888888888889,0.950886411615417,-0.0920062996676975,0.777777777777778,0.751666666666667,0.785,0.912984706261366,-0.054287124478384,0.777777777777778,0.751666666666667,1,1,6.004,0.794,350,150,0,-0.00388888888888883
"C1_N500_g0",500,0,0,"treatment",10,0.81041181041181,1.12970103443892,-0.11791635095497,0.756296296296296,0.726666666666667,0.81015281015281,1.06199002072089,-0.0185240814380326,0.756296296296296,0.726666666666667,1,1,5.896,0.79,350,150,0,-0.000259000259000275
