key,title,authors,journal,year,abstract,doi,url,pmid,notes
40418571,Supervised Machine Learning Models for Predicting Sepsis-Associated Liver Injury in Patients With Sepsis: Development and Validation Study Based on a Multicenter Cohort Study.,Lei Jingchao; Zhai Jia; Zhang Yao; Qi Jing; Sun Chuanzheng,Journal of medical Internet research,2025,"Sepsis-associated liver injury (SALI) is a severe complication of sepsis that contributes to increased mortality and morbidity. Early identification of SALI can improve patient outcomes; however, sepsis heterogeneity makes timely diagnosis challenging. Traditional diagnostic tools are often limited, and machine learning techniques offer promising solutions for predicting adverse outcomes in patients with sepsis.",10.2196/66733,https://pubmed.ncbi.nlm.nih.gov/40418571/,40418571,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
40241963,Artificial intelligence in hospital infection prevention: an integrative review.,El Arab Rabie Adel; Almoosa Zainab; Alkhunaizi May; Abuadas Fuad H; Somerville Joel,Frontiers in public health,2025,"Hospital-acquired infections (HAIs) represent a persistent challenge in healthcare, contributing to substantial morbidity, mortality, and economic burden. Artificial intelligence (AI) offers promising potential for improving HAIs prevention through advanced predictive capabilities.",10.3389/fpubh.2025.1547450,https://pubmed.ncbi.nlm.nih.gov/40241963/,40241963,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=1 | dual_overlap=0
38000872,Machine learning and deep learning predictive models for long-term prognosis in patients with chronic obstructive pulmonary disease: a systematic review and meta-analysis.,Smith Luke A; Oakden-Rayner Lauren; Bird Alix; Zeng Minyan; To Minh-Son; Mukherjee Sutapa,The Lancet. Digital health,2023,"Machine learning and deep learning models have been increasingly used to predict long-term disease progression in patients with chronic obstructive pulmonary disease (COPD). We aimed to summarise the performance of such prognostic models for COPD, compare their relative performances, and identify key research gaps.",10.1016/S2589-7500(23)00177-2,https://pubmed.ncbi.nlm.nih.gov/38000872/,38000872,triPod_AI_era=pre-2024 | overall_calib=0 | subgroup_interval=1 | dual_overlap=1
41082207,Derivation and Validation of Predictive Models for Early Pediatric Sepsis.,Alpern Elizabeth R; Scott Halden F; Balamuth Fran; Chamberlain James M; Depinet Holly; Bajaj Lalit,JAMA pediatrics,2025,"Sepsis is a leading cause of death in children. Early recognition and treatment improve outcomes, but predictive models have not to date improved early diagnosis.",10.1001/jamapediatrics.2025.3892,https://pubmed.ncbi.nlm.nih.gov/41082207/,41082207,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=1
39939885,Prediction models for treatment response in migraine: a systematic review and meta-analysis.,Chen Qiuyi; Zhang Jiarun; Cao Baicheng; Hu Yihan; Kong Yazhuo; Li Bin,The journal of headache and pain,2025,"Migraine is a complex neurological disorder with significant clinical variability, posing challenges for effective management. Multiple treatments are available for migraine, but individual responses vary widely, making accurate prediction crucial for personalized care. This study aims to examine the use of statistical and machine learning models to predict treatment response in migraine patients.",10.1186/s10194-025-01972-x,https://pubmed.ncbi.nlm.nih.gov/39939885/,39939885,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=0
40318314,Risk prediction model for chemotherapy-induced nausea and vomiting in cancer patients: a systematic review.,Wang Yongjian; Zheng Ruishuang; Wu Yunting; Liu Ting; Hao Liqian; Liu Jue,International journal of nursing studies,2025,"Chemotherapy-induced nausea and vomiting increase the healthcare burden and lead to adverse clinical outcomes in cancer patients. Although many risk prediction models for chemotherapy-induced nausea and vomiting have been developed, their methodological quality and applicability remain uncertain.",10.1016/j.ijnurstu.2025.105094,https://pubmed.ncbi.nlm.nih.gov/40318314/,40318314,triPod_AI_era=2024-2025 | overall_calib=0 | subgroup_interval=0 | dual_overlap=0
40626581,Development and Validation of a Nomogram for Predicting Oral Frailty Risk in Elderly Patients With Ischaemic Stroke.,Xiao Wen; Gu Danfeng; Zhang Mingqi; Liao Jiansu; Xu Tao; Deng Tianxue,Journal of clinical nursing,2026,To develop and validate a risk prediction model for oral frailty in elderly patients with ischaemic stroke.,10.1111/jocn.17855,https://pubmed.ncbi.nlm.nih.gov/40626581/,40626581,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=1 | dual_overlap=1
40065741,Applying machine learning to predict bowel preparation adequacy in elderly patients for colonoscopy: development and validation of a web-based prediction tool.,Liu Jianying; Jiang Wei; Yu Yahong; Gong Jiali; Chen Guie; Yang Yuxing,Annals of medicine,2025,"Adequate bowel preparation is crucial for effective colonoscopy, especially in elderly patients who face a high risk of inadequate preparation. This study develops and validates a machine learning model to predict bowel preparation adequacy in elderly patients before colonoscopy.",10.1080/07853890.2025.2474172,https://pubmed.ncbi.nlm.nih.gov/40065741/,40065741,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=1 | dual_overlap=0
38596087,Development and validation of nomograms for predicting prognosis in patients with solitary HCC: A TRIPOD-Compliant study.,Li Chuanhong; Deng Yong; Liao Rui; Zhang Leida; Gu Yongpeng,Heliyon,2024,To develop and validate nomograms for predicting the OS and CSS of patients with Solitary Hepatocellular Carcinoma (HCC).,10.1016/j.heliyon.2024.e28877,https://pubmed.ncbi.nlm.nih.gov/38596087/,38596087,triPod_AI_era=2024-2025 | overall_calib=0 | subgroup_interval=1 | dual_overlap=1
39097246,Artificial Intelligence and Machine Learning in Cancer Pain: A Systematic Review.,Salama Vivian; Godinich Brandon; Geng Yimin; Humbert-Vidan Laia; Maule Laura; Wahid Kareem A,Journal of pain and symptom management,2024,Pain is a challenging multifaceted symptom reported by most cancer patients. This systematic review aims to explore applications of artificial intelligence/machine learning (AI/ML) in predicting pain-related outcomes and pain management in cancer.,10.1016/j.jpainsymman.2024.07.025,https://pubmed.ncbi.nlm.nih.gov/39097246/,39097246,triPod_AI_era=2024-2025 | overall_calib=1 | subgroup_interval=0 | dual_overlap=1
