pmid,title,journal,year,overall_calib_reported,overall_calib_slope_CI_reported,overall_calib_plot_band,subgroup_calib_reported_any,subgroup_stratifiers,subgroup_interval_aware,subgroup_point_only,subgroup_slope_CI_per_stratifier,masking_overall_pass_subgroup_fail,masking_definition,triPod_AI_era,PROBAST_overall,extraction_reviewer,dual_overlap_flag,adjudication_note,rayyan_label,Wilson_p_interval_aware_stub,notes
40418571,Supervised Machine Learning Models for Predicting Sepsis-Associated Liver Injury in Patients With Sepsis: Development and Validation Study Based on a Multicenter Cohort Study.,Journal of medical Internet research,2025,1,1,1,1,sex,0,1,sex:CI=no,1,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40241963,Artificial intelligence in hospital infection prevention: an integrative review.,Frontiers in public health,2025,1,0,0,1,site;sex,1,0,site;sex:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
38000872,Machine learning and deep learning predictive models for long-term prognosis in patients with chronic obstructive pulmonary disease: a systematic review and meta-analysis.,The Lancet. Digital health,2023,0,0,0,1,race_ethnicity,1,0,race_ethnicity:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,low,adjudicated,1,agree,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
41082207,Derivation and Validation of Predictive Models for Early Pediatric Sepsis.,JAMA pediatrics,2025,1,1,1,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,adjudicated,1,agree,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
39939885,Prediction models for treatment response in migraine: a systematic review and meta-analysis.,The journal of headache and pain,2025,1,0,0,1,race_ethnicity;comorbidity,0,1,race_ethnicity;comorbidity:CI=no,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40318314,Risk prediction model for chemotherapy-induced nausea and vomiting in cancer patients: a systematic review.,International journal of nursing studies,2025,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,exclude,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40626581,Development and Validation of a Nomogram for Predicting Oral Frailty Risk in Elderly Patients With Ischaemic Stroke.,Journal of clinical nursing,2026,1,1,1,1,site;race_ethnicity,1,0,site;race_ethnicity:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,adjudicated,1,"R1=0 R2=1 -> adjudicated 1 (plot band ambiguous, Riley band counted per protocol)",include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
40065741,Applying machine learning to predict bowel preparation adequacy in elderly patients for colonoscopy: development and validation of a web-based prediction tool.,Annals of medicine,2025,1,0,0,1,deprivation,1,0,deprivation:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,R1,0,,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
38596087,Development and validation of nomograms for predicting prognosis in patients with solitary HCC: A TRIPOD-Compliant study.,Heliyon,2024,0,0,0,1,comorbidity,1,0,comorbidity:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,adjudicated,1,agree,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
39097246,Artificial Intelligence and Machine Learning in Cancer Pain: A Systematic Review.,Journal of pain and symptom management,2024,1,1,1,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,adjudicated,1,agree,include,,full n=150 final — 90 prior + 60 NEW via E-utilities retstart 90 onward; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split; Git d419b12; seed 20260830
