bin,bin_low,bin_high,mean_pred,obs_rate,n
0,0.0,0.1,0.04891522796803347,0.05555555555555555,126
1,0.1,0.2,0.15172570805207333,0.15151515151515152,99
2,0.2,0.30000000000000004,0.2453038911148879,0.25,88
3,0.30000000000000004,0.4,0.3508874725493808,0.32558139534883723,86
4,0.4,0.5,0.45811332802563925,0.4155844155844156,77
5,0.5,0.6000000000000001,0.5513961966044585,0.5232558139534884,86
6,0.6000000000000001,0.7000000000000001,0.6510390262123932,0.7227722772277227,101
7,0.7000000000000001,0.8,0.7533460000733136,0.6990291262135923,103
8,0.8,0.9,0.8499116079096419,0.8541666666666666,96
9,0.9,1.0,0.953235998887521,0.9420289855072463,138
