bin,bin_low,bin_high,mean_pred,obs_rate,n
0,0.0,0.1,0.04544505484702741,0.06557377049180328,122
1,0.1,0.2,0.14865465709717124,0.13392857142857142,112
2,0.2,0.30000000000000004,0.250771980017168,0.26436781609195403,87
3,0.30000000000000004,0.4,0.3496836219417589,0.3855421686746988,83
4,0.4,0.5,0.44988732428767175,0.3918918918918919,74
5,0.5,0.6000000000000001,0.553724257961624,0.5463917525773195,97
6,0.6000000000000001,0.7000000000000001,0.6506515018830406,0.7142857142857143,91
7,0.7000000000000001,0.8,0.7514650645634776,0.7254901960784313,102
8,0.8,0.9,0.8469747337268588,0.8350515463917526,97
9,0.9,1.0,0.9521171016168931,0.9333333333333333,135
