"bins","y","p","n","gamma_v","model"
"[0,0.584]",0.5,0.480255069179108,30,0.8,"gbm"
"(0.584,0.706]",0.633333333333333,0.651053614234701,30,0.8,"gbm"
"(0.706,0.78]",0.7,0.744531277616678,30,0.8,"gbm"
"(0.78,0.843]",0.833333333333333,0.813700061691403,30,0.8,"gbm"
"(0.843,0.879]",0.866666666666667,0.861720858495176,30,0.8,"gbm"
"(0.879,0.905]",0.933333333333333,0.893443334260739,30,0.8,"gbm"
"(0.905,0.948]",0.933333333333333,0.92499162626812,30,0.8,"gbm"
"(0.948,0.968]",1,0.95891427933896,30,0.8,"gbm"
"(0.968,0.985]",0.933333333333333,0.978081866348848,30,0.8,"gbm"
"(0.985,1]",0.966666666666667,0.993308012562354,30,0.8,"gbm"
