"bins","y","p","n","gamma_v","model"
"[0,0.62]",0.466666666666667,0.477576268073321,30,0.8,"lmm"
"(0.62,0.713]",0.6,0.679755604590601,30,0.8,"lmm"
"(0.713,0.798]",0.833333333333333,0.754596538101111,30,0.8,"lmm"
"(0.798,0.841]",0.833333333333333,0.820395219063441,30,0.8,"lmm"
"(0.841,0.871]",0.866666666666667,0.856764420077957,30,0.8,"lmm"
"(0.871,0.903]",0.866666666666667,0.88544657415325,30,0.8,"lmm"
"(0.903,0.935]",0.966666666666667,0.917913495202357,30,0.8,"lmm"
"(0.935,0.961]",0.966666666666667,0.947015884162718,30,0.8,"lmm"
"(0.961,0.982]",0.933333333333333,0.970581049527483,30,0.8,"lmm"
"(0.982,1]",0.966666666666667,0.989954947047709,30,0.8,"lmm"
