"bins","y","p","n","gamma_v","model"
"[0,0.609]",0.466666666666667,0.447019357772077,30,0,"gbm"
"(0.609,0.736]",0.6,0.680024977112889,30,0,"gbm"
"(0.736,0.802]",0.866666666666667,0.768782590082024,30,0,"gbm"
"(0.802,0.846]",0.866666666666667,0.825939336236837,30,0,"gbm"
"(0.846,0.883]",0.833333333333333,0.86313376003375,30,0,"gbm"
"(0.883,0.917]",0.833333333333333,0.901099127589073,30,0,"gbm"
"(0.917,0.941]",0.9,0.930054462897045,30,0,"gbm"
"(0.941,0.964]",1,0.953326620508931,30,0,"gbm"
"(0.964,0.983]",0.966666666666667,0.973566706751223,30,0,"gbm"
"(0.983,1]",1,0.99038639434948,30,0,"gbm"
