"bins","y","p","n","gamma_v","model"
"[0,0.624]",0.433333333333333,0.474284220403982,30,0,"lmm"
"(0.624,0.728]",0.733333333333333,0.675546614502006,30,0,"lmm"
"(0.728,0.794]",0.833333333333333,0.760375416897167,30,0,"lmm"
"(0.794,0.846]",0.833333333333333,0.82430255947506,30,0,"lmm"
"(0.846,0.889]",0.833333333333333,0.868211062928548,30,0,"lmm"
"(0.889,0.914]",0.866666666666667,0.901281927332221,30,0,"lmm"
"(0.914,0.938]",0.866666666666667,0.925258405637604,30,0,"lmm"
"(0.938,0.961]",0.966666666666667,0.94918592841652,30,0,"lmm"
"(0.961,0.975]",0.966666666666667,0.968556337396085,30,0,"lmm"
"(0.975,1]",1,0.986330857724577,30,0,"lmm"
