scenario,p1,p0,RR_EU,RR_UD,B_bounding_factor,B_max_joint,Rstar,Rstar_Bmax,interpretation
Generic non-compliance 35% excess,0.35,0.05,7.0,1.5,1.146,1.4,1.017,1.089,R*=1.02 outside typical 1.4-2.0
Generic non-compliance 35% excess,0.35,0.05,7.0,2.0,1.286,1.75,1.052,1.225,R*=1.05 outside typical 1.4-2.0
Generic non-compliance 35% excess,0.35,0.05,7.0,3.0,1.545,2.333,1.142,1.485,R*=1.14 outside typical 1.4-2.0
Generic Khanna extreme 95% excess,0.95,0.05,19.0,1.5,1.439,1.462,1.103,1.111,R*=1.10 outside typical 1.4-2.0
Generic Khanna extreme 95% excess,0.95,0.05,19.0,2.0,1.857,1.9,1.271,1.289,R*=1.27 outside typical 1.4-2.0
Generic Khanna extreme 95% excess,0.95,0.05,19.0,3.0,2.636,2.714,1.627,1.664,RR_obs > 1.63 survives this audit-anchored bias (B=2.64); R*~1.4-2.0 sweep
Irrational FDC contrast A,0.2,0.02,10.0,1.5,1.089,1.429,1.007,1.099,R*=1.01 outside typical 1.4-2.0
Irrational FDC contrast A,0.2,0.02,10.0,2.0,1.176,1.818,1.023,1.254,R*=1.02 outside typical 1.4-2.0
Irrational FDC contrast A,0.2,0.02,10.0,3.0,1.346,2.5,1.071,1.562,R*=1.07 outside typical 1.4-2.0
AYUSH 44% simultaneous median,0.44,0.1,4.4,1.5,1.162,1.347,1.02,1.071,R*=1.02 outside typical 1.4-2.0
AYUSH 44% simultaneous median,0.44,0.1,4.4,2.0,1.309,1.63,1.059,1.175,R*=1.06 outside typical 1.4-2.0
AYUSH 44% simultaneous median,0.44,0.1,4.4,3.0,1.567,2.062,1.151,1.361,R*=1.15 outside typical 1.4-2.0
AYUSH 96% ever extreme,0.96,0.1,9.6,1.5,1.41,1.426,1.092,1.098,R*=1.09 outside typical 1.4-2.0
AYUSH 96% ever extreme,0.96,0.1,9.6,2.0,1.782,1.811,1.238,1.251,R*=1.24 outside typical 1.4-2.0
AYUSH 96% ever extreme,0.96,0.1,9.6,3.0,2.433,2.483,1.531,1.554,RR_obs > 1.53 survives this audit-anchored bias (B=2.43); R*~1.4-2.0 sweep
Polypharmacy >=3 drugs,0.71,0.2,3.55,1.5,1.232,1.315,1.037,1.061,R*=1.04 outside typical 1.4-2.0
Polypharmacy >=3 drugs,0.71,0.2,3.55,2.0,1.425,1.56,1.098,1.148,R*=1.10 outside typical 1.4-2.0
Polypharmacy >=3 drugs,0.71,0.2,3.55,3.0,1.729,1.919,1.216,1.298,R*=1.22 outside typical 1.4-2.0
